date,route,market,bookings,avg_fare_hkd,load_factor,search_volume_index
2023-02-27,HKG-LHR,UK,266,4983,0.766,2089
2023-02-28,HKG-LHR,UK,276,5592,0.793,2178
2023-03-01,HKG-LHR,UK,226,5034,0.759,1831
2023-03-02,HKG-LHR,UK,275,4884,0.788,2050
2023-03-03,HKG-LHR,UK,220,4501,0.851,1366
2023-03-04,HKG-LHR,UK,242,5849,0.886,1379
2023-03-05,HKG-LHR,UK,269,5239,0.863,1730
2023-03-06,HKG-LHR,UK,278,5417,0.829,1766
2023-03-07,HKG-LHR,UK,272,4539,0.806,1541
2023-03-08,HKG-LHR,UK,262,4873,0.822,1976
2023-03-09,HKG-LHR,UK,248,5244,0.803,2015
2023-03-10,HKG-LHR,UK,236,5229,0.793,1475
2023-03-11,HKG-LHR,UK,282,5257,0.795,1867
2023-03-12,HKG-LHR,UK,280,4646,0.853,1584
2023-03-13,HKG-LHR,UK,290,4388,0.85,2380
2023-03-14,HKG-LHR,UK,261,4908,0.816,1939
2023-03-15,HKG-LHR,UK,257,5058,0.798,1810
2023-03-16,HKG-LHR,UK,269,4053,0.804,1996
2023-03-17,HKG-LHR,UK,252,4948,0.751,1701
2023-03-18,HKG-LHR,UK,285,4474,0.845,1848
2023-03-19,HKG-LHR,UK,277,4670,0.805,2312
2023-03-20,HKG-LHR,UK,293,5807,0.859,2082
2023-03-21,HKG-LHR,UK,302,5279,0.853,2144
2023-03-22,HKG-LHR,UK,263,4815,0.838,1606
2023-03-23,HKG-LHR,UK,260,5022,0.842,1504
2023-03-24,HKG-LHR,UK,275,5398,0.767,1626
2023-03-25,HKG-LHR,UK,246,4889,0.846,1931
2023-03-26,HKG-LHR,UK,269,4686,0.813,1956
2023-03-27,HKG-LHR,UK,276,5227,0.85,1992
2023-03-28,HKG-LHR,UK,247,5224,0.803,1951
2023-03-29,HKG-LHR,UK,285,4258,0.802,1670
2023-03-30,HKG-LHR,UK,228,5702,0.803,1540
2023-03-31,HKG-LHR,UK,242,5432,0.83,1983
2023-04-01,HKG-LHR,UK,266,5210,0.784,1714
2023-04-02,HKG-LHR,UK,277,5256,0.845,1887
2023-04-03,HKG-LHR,UK,284,5704,0.797,2360
2023-04-04,HKG-LHR,UK,282,5445,0.818,2386
2023-04-05,HKG-LHR,UK,275,5443,0.831,2214
2023-04-06,HKG-LHR,UK,247,4283,0.849,1867
2023-04-07,HKG-LHR,UK,251,5634,0.755,1603
2023-04-08,HKG-LHR,UK,240,4776,0.811,1981
2023-04-09,HKG-LHR,UK,283,4524,0.749,2303
2023-04-10,HKG-LHR,UK,279,5287,0.838,2371
2023-04-11,HKG-LHR,UK,269,5156,0.834,2203
2023-04-12,HKG-LHR,UK,270,4812,0.807,2114
2023-04-13,HKG-LHR,UK,261,4939,0.823,1464
2023-04-14,HKG-LHR,UK,247,5438,0.741,1952
2023-04-15,HKG-LHR,UK,241,4148,0.778,1905
2023-04-16,HKG-LHR,UK,274,5181,0.847,2196
2023-04-17,HKG-LHR,UK,284,5652,0.822,2287
2023-04-18,HKG-LHR,UK,269,4496,0.785,1698
2023-04-19,HKG-LHR,UK,272,5802,0.772,1540
2023-04-20,HKG-LHR,UK,234,5294,0.791,1785
2023-04-21,HKG-LHR,UK,261,4853,0.792,2203
2023-04-22,HKG-LHR,UK,251,5275,0.797,1812
2023-04-23,HKG-LHR,UK,281,5639,0.807,2033
2023-04-24,HKG-LHR,UK,298,4965,0.859,1772
2023-04-25,HKG-LHR,UK,274,5242,0.873,1605
2023-04-26,HKG-LHR,UK,261,5165,0.84,1771
2023-04-27,HKG-LHR,UK,251,5089,0.812,1688
2023-04-28,HKG-LHR,UK,224,4254,0.756,1256
2023-04-29,HKG-LHR,UK,255,5890,0.838,1840
2023-04-30,HKG-LHR,UK,279,4934,0.808,2081
2023-05-01,HKG-LHR,UK,290,4962,0.854,1970
2023-05-02,HKG-LHR,UK,274,6160,0.821,2113
2023-05-03,HKG-LHR,UK,259,5337,0.805,1829
2023-05-04,HKG-LHR,UK,233,5276,0.768,1627
2023-05-05,HKG-LHR,UK,253,5372,0.836,1434
2023-05-06,HKG-LHR,UK,252,5285,0.794,1623
2023-05-07,HKG-LHR,UK,246,4963,0.741,1985
2023-05-08,HKG-LHR,UK,297,5465,0.804,1740
2023-05-09,HKG-LHR,UK,229,4878,0.865,1790
2023-05-10,HKG-LHR,UK,247,5290,0.754,1646
2023-05-11,HKG-LHR,UK,243,5065,0.823,1719
2023-05-12,HKG-LHR,UK,251,4819,0.83,2125
2023-05-13,HKG-LHR,UK,240,4738,0.837,1422
2023-05-14,HKG-LHR,UK,288,4919,0.865,2237
2023-05-15,HKG-LHR,UK,279,5738,0.806,1686
2023-05-16,HKG-LHR,UK,261,5285,0.761,1664
2023-05-17,HKG-LHR,UK,244,5568,0.728,1404
2023-05-18,HKG-LHR,UK,215,4763,0.793,1601
2023-05-19,HKG-LHR,UK,235,5035,0.801,1551
2023-05-20,HKG-LHR,UK,260,5370,0.819,1806
2023-05-21,HKG-LHR,UK,269,5930,0.809,2214
2023-05-22,HKG-LHR,UK,261,4679,0.77,1826
2023-05-23,HKG-LHR,UK,257,4737,0.804,2121
2023-05-24,HKG-LHR,UK,249,4788,0.829,1513
2023-05-25,HKG-LHR,UK,233,4834,0.81,1496
2023-05-26,HKG-LHR,UK,214,5072,0.793,1628
2023-05-27,HKG-LHR,UK,249,4506,0.842,1726
2023-05-28,HKG-LHR,UK,257,5248,0.733,2156
2023-05-29,HKG-LHR,UK,263,4663,0.83,2024
2023-05-30,HKG-LHR,UK,243,4758,0.806,2043
2023-05-31,HKG-LHR,UK,227,5202,0.846,1759
2023-06-01,HKG-LHR,UK,226,4426,0.752,1770
2023-06-02,HKG-LHR,UK,224,5432,0.797,1889
2023-06-03,HKG-LHR,UK,250,4864,0.841,1792
2023-06-04,HKG-LHR,UK,248,5321,0.824,1392
2023-06-05,HKG-LHR,UK,239,5320,0.766,1799
2023-06-06,HKG-LHR,UK,235,5282,0.771,1814
2023-06-07,HKG-LHR,UK,250,5199,0.784,1841
2023-06-08,HKG-LHR,UK,221,5113,0.796,1665
2023-06-09,HKG-LHR,UK,233,4882,0.782,1751
2023-06-10,HKG-LHR,UK,223,4116,0.837,1797
2023-06-11,HKG-LHR,UK,246,4310,0.791,1556
2023-06-12,HKG-LHR,UK,255,4646,0.822,1664
2023-06-13,HKG-LHR,UK,230,5385,0.854,1469
2023-06-14,HKG-LHR,UK,231,5042,0.811,1962
2023-06-15,HKG-LHR,UK,205,4394,0.785,1690
2023-06-16,HKG-LHR,UK,248,5029,0.851,1414
2023-06-17,HKG-LHR,UK,242,5230,0.772,1792
2023-06-18,HKG-LHR,UK,264,4968,0.758,2048
2023-06-19,HKG-LHR,UK,240,4960,0.795,1489
2023-06-20,HKG-LHR,UK,223,5297,0.773,1723
2023-06-21,HKG-LHR,UK,242,5211,0.777,1506
2023-06-22,HKG-LHR,UK,230,5243,0.864,1652
2023-06-23,HKG-LHR,UK,223,5032,0.814,1545
2023-06-24,HKG-LHR,UK,246,4887,0.787,1490
2023-06-25,HKG-LHR,UK,253,5711,0.79,2117
2023-06-26,HKG-LHR,UK,252,5000,0.832,2112
2023-06-27,HKG-LHR,UK,229,4781,0.722,1305
2023-06-28,HKG-LHR,UK,213,5018,0.818,1204
2023-06-29,HKG-LHR,UK,200,5077,0.809,1519
2023-06-30,HKG-LHR,UK,201,5328,0.772,1357
2023-07-01,HKG-LHR,UK,260,5990,0.776,1431
2023-07-02,HKG-LHR,UK,273,5120,0.767,1855
2023-07-03,HKG-LHR,UK,277,5207,0.813,1791
2023-07-04,HKG-LHR,UK,242,4992,0.771,1497
2023-07-05,HKG-LHR,UK,261,6019,0.773,1796
2023-07-06,HKG-LHR,UK,250,5698,0.819,1479
2023-07-07,HKG-LHR,UK,247,5743,0.824,1382
2023-07-08,HKG-LHR,UK,232,4652,0.824,1672
2023-07-09,HKG-LHR,UK,255,4827,0.808,2055
2023-07-10,HKG-LHR,UK,301,5905,0.816,2428
2023-07-11,HKG-LHR,UK,268,5535,0.781,1959
2023-07-12,HKG-LHR,UK,277,6187,0.788,1788
2023-07-13,HKG-LHR,UK,247,5872,0.838,1665
2023-07-14,HKG-LHR,UK,248,5960,0.812,1622
2023-07-15,HKG-LHR,UK,251,5419,0.764,1914
2023-07-16,HKG-LHR,UK,288,6288,0.829,2097
2023-07-17,HKG-LHR,UK,270,5763,0.779,1625
2023-07-18,HKG-LHR,UK,263,5080,0.807,1460
2023-07-19,HKG-LHR,UK,271,6077,0.813,2220
2023-07-20,HKG-LHR,UK,234,5579,0.762,1479
2023-07-21,HKG-LHR,UK,222,5104,0.804,1663
2023-07-22,HKG-LHR,UK,219,5616,0.817,1356
2023-07-23,HKG-LHR,UK,273,5689,0.788,1955
2023-07-24,HKG-LHR,UK,269,5843,0.85,1937
2023-07-25,HKG-LHR,UK,255,5107,0.795,1796
2023-07-26,HKG-LHR,UK,238,5409,0.804,1600
2023-07-27,HKG-LHR,UK,220,5813,0.776,1661
2023-07-28,HKG-LHR,UK,231,5154,0.779,1409
2023-07-29,HKG-LHR,UK,223,4711,0.733,1814
2023-07-30,HKG-LHR,UK,253,5618,0.84,1946
2023-07-31,HKG-LHR,UK,264,6380,0.775,2168
2023-08-01,HKG-LHR,UK,241,5265,0.788,1473
2023-08-02,HKG-LHR,UK,262,5519,0.865,1737
2023-08-03,HKG-LHR,UK,248,5629,0.805,1601
2023-08-04,HKG-LHR,UK,267,6057,0.789,1951
2023-08-05,HKG-LHR,UK,229,5449,0.819,1519
2023-08-06,HKG-LHR,UK,252,5678,0.813,1904
2023-08-07,HKG-LHR,UK,226,5974,0.761,1310
2023-08-08,HKG-LHR,UK,245,5709,0.779,1496
2023-08-09,HKG-LHR,UK,213,5487,0.767,1337
2023-08-10,HKG-LHR,UK,223,5214,0.811,1663
2023-08-11,HKG-LHR,UK,192,4783,0.774,1226
2023-08-12,HKG-LHR,UK,228,5659,0.798,1927
2023-08-13,HKG-LHR,UK,227,5139,0.758,1342
2023-08-14,HKG-LHR,UK,266,5476,0.735,2138
2023-08-15,HKG-LHR,UK,230,5418,0.78,1440
2023-08-16,HKG-LHR,UK,223,6147,0.769,1718
2023-08-17,HKG-LHR,UK,222,4974,0.8,1727
2023-08-18,HKG-LHR,UK,213,6392,0.766,1249
2023-08-19,HKG-LHR,UK,222,5092,0.791,1785
2023-08-20,HKG-LHR,UK,228,5851,0.808,1422
2023-08-21,HKG-LHR,UK,258,6196,0.849,1830
2023-08-22,HKG-LHR,UK,257,4818,0.796,2138
2023-08-23,HKG-LHR,UK,225,5412,0.785,1569
2023-08-24,HKG-LHR,UK,209,5859,0.775,1232
2023-08-25,HKG-LHR,UK,211,5875,0.818,1764
2023-08-26,HKG-LHR,UK,226,5939,0.756,1415
2023-08-27,HKG-LHR,UK,248,6064,0.808,1603
2023-08-28,HKG-LHR,UK,248,6216,0.81,1760
2023-08-29,HKG-LHR,UK,239,4342,0.808,1846
2023-08-30,HKG-LHR,UK,196,5876,0.79,1279
2023-08-31,HKG-LHR,UK,199,6293,0.763,1466
2023-09-01,HKG-LHR,UK,179,5266,0.816,1481
2023-09-02,HKG-LHR,UK,174,5055,0.764,1476
2023-09-03,HKG-LHR,UK,196,4797,0.804,1154
2023-09-04,HKG-LHR,UK,200,5057,0.785,1653
2023-09-05,HKG-LHR,UK,185,4675,0.804,1384
2023-09-06,HKG-LHR,UK,167,5281,0.776,1090
2023-09-07,HKG-LHR,UK,180,5400,0.779,1012
2023-09-08,HKG-LHR,UK,157,5235,0.748,1174
2023-09-09,HKG-LHR,UK,198,5704,0.831,1528
2023-09-10,HKG-LHR,UK,196,5244,0.799,1377
2023-09-11,HKG-LHR,UK,204,5436,0.778,1332
2023-09-12,HKG-LHR,UK,191,5359,0.774,1103
2023-09-13,HKG-LHR,UK,194,4947,0.798,1079
2023-09-14,HKG-LHR,UK,158,5688,0.742,1277
2023-09-15,HKG-LHR,UK,161,4683,0.76,1018
2023-09-16,HKG-LHR,UK,180,5353,0.778,1482
2023-09-17,HKG-LHR,UK,201,5351,0.715,1680
2023-09-18,HKG-LHR,UK,170,5115,0.763,1098
2023-09-19,HKG-LHR,UK,212,5183,0.769,1181
2023-09-20,HKG-LHR,UK,176,5099,0.796,1202
2023-09-21,HKG-LHR,UK,186,5376,0.742,1327
2023-09-22,HKG-LHR,UK,184,5142,0.747,1147
2023-09-23,HKG-LHR,UK,176,5321,0.737,1484
2023-09-24,HKG-LHR,UK,178,5017,0.77,1236
2023-09-25,HKG-LHR,UK,181,5701,0.773,1153
2023-09-26,HKG-LHR,UK,196,5281,0.771,1207
2023-09-27,HKG-LHR,UK,177,5562,0.747,977
2023-09-28,HKG-LHR,UK,159,5286,0.801,940
2023-09-29,HKG-LHR,UK,171,4645,0.757,1453
2023-09-30,HKG-LHR,UK,170,5193,0.803,1251
2023-10-01,HKG-LHR,UK,186,5686,0.778,1100
2023-10-02,HKG-LHR,UK,206,5125,0.784,1543
2023-10-03,HKG-LHR,UK,175,4470,0.785,1185
2023-10-04,HKG-LHR,UK,175,5103,0.789,1305
2023-10-05,HKG-LHR,UK,165,5600,0.808,1268
2023-10-06,HKG-LHR,UK,188,5607,0.806,1274
2023-10-07,HKG-LHR,UK,192,5312,0.741,1510
2023-10-08,HKG-LHR,UK,176,4776,0.805,1138
2023-10-09,HKG-LHR,UK,221,4989,0.754,1808
2023-10-10,HKG-LHR,UK,197,5132,0.81,1174
2023-10-11,HKG-LHR,UK,189,4697,0.786,1040
2023-10-12,HKG-LHR,UK,165,5004,0.755,1230
2023-10-13,HKG-LHR,UK,200,5060,0.771,1616
2023-10-14,HKG-LHR,UK,172,4993,0.744,994
2023-10-15,HKG-LHR,UK,194,5626,0.777,1505
2023-10-16,HKG-LHR,UK,200,5102,0.829,1321
2023-10-17,HKG-LHR,UK,169,4878,0.763,990
2023-10-18,HKG-LHR,UK,192,4943,0.804,1530
2023-10-19,HKG-LHR,UK,179,5493,0.776,1335
2023-10-20,HKG-LHR,UK,186,5145,0.771,1567
2023-10-21,HKG-LHR,UK,152,4522,0.719,1135
2023-10-22,HKG-LHR,UK,194,4485,0.745,1388
2023-10-23,HKG-LHR,UK,238,5835,0.784,1344
2023-10-24,HKG-LHR,UK,182,4321,0.766,1230
2023-10-25,HKG-LHR,UK,186,4447,0.748,1238
2023-10-26,HKG-LHR,UK,183,5270,0.73,1316
2023-10-27,HKG-LHR,UK,167,5358,0.761,1025
2023-10-28,HKG-LHR,UK,184,5249,0.788,1503
2023-10-29,HKG-LHR,UK,222,5511,0.781,1261
2023-10-30,HKG-LHR,UK,233,5900,0.757,1756
2023-10-31,HKG-LHR,UK,222,4668,0.749,1503
2023-11-01,HKG-LHR,UK,195,5058,0.756,1260
2023-11-02,HKG-LHR,UK,170,4741,0.832,1070
2023-11-03,HKG-LHR,UK,193,4900,0.769,1600
2023-11-04,HKG-LHR,UK,154,4538,0.701,1133
2023-11-05,HKG-LHR,UK,186,5641,0.77,1480
2023-11-06,HKG-LHR,UK,215,5419,0.758,1441
2023-11-07,HKG-LHR,UK,214,4865,0.801,1695
2023-11-08,HKG-LHR,UK,185,4642,0.735,1291
2023-11-09,HKG-LHR,UK,151,5135,0.764,1095
2023-11-10,HKG-LHR,UK,184,5333,0.789,1069
2023-11-11,HKG-LHR,UK,212,4691,0.834,1426
2023-11-12,HKG-LHR,UK,221,5128,0.776,1834
2023-11-13,HKG-LHR,UK,210,4464,0.812,1513
2023-11-14,HKG-LHR,UK,196,5223,0.754,1267
2023-11-15,HKG-LHR,UK,207,5084,0.833,1242
2023-11-16,HKG-LHR,UK,201,5140,0.802,1445
2023-11-17,HKG-LHR,UK,186,5053,0.746,1541
2023-11-18,HKG-LHR,UK,207,5342,0.827,1726
2023-11-19,HKG-LHR,UK,205,5252,0.762,1130
2023-11-20,HKG-LHR,UK,208,5761,0.793,1161
2023-11-21,HKG-LHR,UK,228,4214,0.731,1573
2023-11-22,HKG-LHR,UK,201,5202,0.739,1635
2023-11-23,HKG-LHR,UK,218,5436,0.792,1304
2023-11-24,HKG-LHR,UK,185,4231,0.778,1553
2023-11-25,HKG-LHR,UK,179,4830,0.733,1304
2023-11-26,HKG-LHR,UK,215,4250,0.804,1493
2023-11-27,HKG-LHR,UK,217,4088,0.756,1470
2023-11-28,HKG-LHR,UK,177,4958,0.731,1396
2023-11-29,HKG-LHR,UK,194,5265,0.792,1576
2023-11-30,HKG-LHR,UK,192,5253,0.729,1454
2023-12-01,HKG-LHR,UK,216,5417,0.785,1589
2023-12-02,HKG-LHR,UK,243,6110,0.808,1493
2023-12-03,HKG-LHR,UK,254,6008,0.748,1471
2023-12-04,HKG-LHR,UK,275,5794,0.827,2316
2023-12-05,HKG-LHR,UK,263,5970,0.89,1947
2023-12-06,HKG-LHR,UK,232,5865,0.807,1648
2023-12-07,HKG-LHR,UK,217,6719,0.796,1653
2023-12-08,HKG-LHR,UK,245,5622,0.792,2035
2023-12-09,HKG-LHR,UK,227,5831,0.848,1355
2023-12-10,HKG-LHR,UK,256,5441,0.793,1713
2023-12-11,HKG-LHR,UK,263,6087,0.757,1692
2023-12-12,HKG-LHR,UK,257,5842,0.772,1486
2023-12-13,HKG-LHR,UK,266,6107,0.765,2242
2023-12-14,HKG-LHR,UK,242,4943,0.798,1909
2023-12-15,HKG-LHR,UK,245,5752,0.809,2062
2023-12-16,HKG-LHR,UK,268,4370,0.802,1785
2023-12-17,HKG-LHR,UK,243,5714,0.836,1393
2023-12-18,HKG-LHR,UK,280,5256,0.797,2054
2023-12-19,HKG-LHR,UK,261,5881,0.752,2200
2023-12-20,HKG-LHR,UK,263,5588,0.826,2218
2023-12-21,HKG-LHR,UK,259,5524,0.801,1474
2023-12-22,HKG-LHR,UK,235,5986,0.803,1671
2023-12-23,HKG-LHR,UK,257,5904,0.793,1890
2023-12-24,HKG-LHR,UK,251,6243,0.844,1449
2023-12-25,HKG-LHR,UK,313,6123,0.862,2077
2023-12-26,HKG-LHR,UK,272,5576,0.825,1758
2023-12-27,HKG-LHR,UK,263,5258,0.833,1627
2023-12-28,HKG-LHR,UK,257,6009,0.798,1558
2023-12-29,HKG-LHR,UK,237,4929,0.803,1665
2023-12-30,HKG-LHR,UK,256,4330,0.768,1775
2023-12-31,HKG-LHR,UK,270,5835,0.77,1670
2024-01-01,HKG-LHR,UK,245,5218,0.87,1692
2024-01-02,HKG-LHR,UK,238,4858,0.787,1896
2024-01-03,HKG-LHR,UK,227,4939,0.835,1683
2024-01-04,HKG-LHR,UK,250,5137,0.856,1872
2024-01-05,HKG-LHR,UK,232,4804,0.768,1572
2024-01-06,HKG-LHR,UK,245,5116,0.761,1685
2024-01-07,HKG-LHR,UK,226,4379,0.794,1378
2024-01-08,HKG-LHR,UK,253,4178,0.798,1598
2024-01-09,HKG-LHR,UK,277,4505,0.804,1688
2024-01-10,HKG-LHR,UK,240,5330,0.801,1868
2024-01-11,HKG-LHR,UK,234,4770,0.821,1623
2024-01-12,HKG-LHR,UK,228,5173,0.773,1341
2024-01-13,HKG-LHR,UK,227,4663,0.78,1576
2024-01-14,HKG-LHR,UK,256,4631,0.827,1752
2024-01-15,HKG-LHR,UK,251,4845,0.843,1513
2024-01-16,HKG-LHR,UK,250,5303,0.739,1939
2024-01-17,HKG-LHR,UK,267,5154,0.813,1820
2024-01-18,HKG-LHR,UK,240,4285,0.747,1869
2024-01-19,HKG-LHR,UK,218,5635,0.777,1766
2024-01-20,HKG-LHR,UK,223,3978,0.782,1834
2024-01-21,HKG-LHR,UK,251,5540,0.839,1392
2024-01-22,HKG-LHR,UK,234,5352,0.811,1686
2024-01-23,HKG-LHR,UK,272,4625,0.873,1680
2024-01-24,HKG-LHR,UK,254,4412,0.776,2062
2024-01-25,HKG-LHR,UK,229,5443,0.799,1444
2024-01-26,HKG-LHR,UK,252,5003,0.75,1807
2024-01-27,HKG-LHR,UK,253,5261,0.757,1435
2024-01-28,HKG-LHR,UK,253,4951,0.762,1909
2024-01-29,HKG-LHR,UK,259,5415,0.831,1630
2024-01-30,HKG-LHR,UK,257,5157,0.781,2041
2024-01-31,HKG-LHR,UK,235,4841,0.76,1479
2024-02-01,HKG-LHR,UK,247,4452,0.802,1933
2024-02-02,HKG-LHR,UK,242,5095,0.755,1486
2024-02-03,HKG-LHR,UK,251,5520,0.736,1410
2024-02-04,HKG-LHR,UK,283,5038,0.835,1632
2024-02-05,HKG-LHR,UK,272,4439,0.743,1650
2024-02-06,HKG-LHR,UK,254,4914,0.763,2054
2024-02-07,HKG-LHR,UK,250,4802,0.814,1684
2024-02-08,HKG-LHR,UK,245,5197,0.847,1884
2024-02-09,HKG-LHR,UK,241,5562,0.836,1471
2024-02-10,HKG-LHR,UK,250,5654,0.818,1972
2024-02-11,HKG-LHR,UK,268,4943,0.82,1694
2024-02-12,HKG-LHR,UK,278,5132,0.796,1864
2024-02-13,HKG-LHR,UK,313,4375,0.843,1754
2024-02-14,HKG-LHR,UK,265,5119,0.832,1625
2024-02-15,HKG-LHR,UK,247,5562,0.73,1527
2024-02-16,HKG-LHR,UK,250,5540,0.766,1839
2024-02-17,HKG-LHR,UK,260,5093,0.816,2162
2024-02-18,HKG-LHR,UK,250,5497,0.803,1771
2024-02-19,HKG-LHR,UK,262,5305,0.736,1534
2024-02-20,HKG-LHR,UK,255,5122,0.801,1848
2024-02-21,HKG-LHR,UK,258,4817,0.791,1610
2024-02-22,HKG-LHR,UK,255,4943,0.798,1547
2024-02-23,HKG-LHR,UK,254,4382,0.827,2096
2024-02-24,HKG-LHR,UK,295,4651,0.821,2042
2024-02-25,HKG-LHR,UK,295,4816,0.831,2397
2024-02-26,HKG-LHR,UK,290,4815,0.819,2448
2024-02-27,HKG-LHR,UK,281,5284,0.811,1829
2024-02-28,HKG-LHR,UK,277,5249,0.794,1544
2024-02-29,HKG-LHR,UK,230,4682,0.776,1607
2024-03-01,HKG-LHR,UK,242,5361,0.782,1353
2024-03-02,HKG-LHR,UK,262,5456,0.792,2030
2024-03-03,HKG-LHR,UK,279,4536,0.801,1715
2024-03-04,HKG-LHR,UK,294,4910,0.895,1821
2024-03-05,HKG-LHR,UK,285,4640,0.805,2111
2024-03-06,HKG-LHR,UK,233,5197,0.851,1596
2024-03-07,HKG-LHR,UK,257,5518,0.801,2039
2024-03-08,HKG-LHR,UK,221,5362,0.785,1860
2024-03-09,HKG-LHR,UK,268,4862,0.795,1610
2024-03-10,HKG-LHR,UK,265,5527,0.768,1514
2024-03-11,HKG-LHR,UK,318,5560,0.838,2538
2024-03-12,HKG-LHR,UK,277,5130,0.817,2257
2024-03-13,HKG-LHR,UK,267,5013,0.767,1827
2024-03-14,HKG-LHR,UK,268,4542,0.805,2114
2024-03-15,HKG-LHR,UK,257,4941,0.85,2063
2024-03-16,HKG-LHR,UK,250,5374,0.779,1433
2024-03-17,HKG-LHR,UK,290,4899,0.849,2194
2024-03-18,HKG-LHR,UK,284,4832,0.802,1809
2024-03-19,HKG-LHR,UK,294,5798,0.892,2167
2024-03-20,HKG-LHR,UK,270,4620,0.789,2038
2024-03-21,HKG-LHR,UK,241,4671,0.794,1388
2024-03-22,HKG-LHR,UK,268,4726,0.895,1665
2024-03-23,HKG-LHR,UK,265,4916,0.812,1833
2024-03-24,HKG-LHR,UK,310,5557,0.841,2162
2024-03-25,HKG-LHR,UK,297,4642,0.869,1698
2024-03-26,HKG-LHR,UK,288,4106,0.791,2010
2024-03-27,HKG-LHR,UK,287,5553,0.773,1734
2024-03-28,HKG-LHR,UK,271,4423,0.812,1842
2024-03-29,HKG-LHR,UK,253,4344,0.794,1824
2024-03-30,HKG-LHR,UK,268,4870,0.798,1978
2024-03-31,HKG-LHR,UK,293,4976,0.811,2279
2024-04-01,HKG-LHR,UK,267,5295,0.811,2074
2024-04-02,HKG-LHR,UK,300,4303,0.768,1908
2024-04-03,HKG-LHR,UK,270,5169,0.798,2290
2024-04-04,HKG-LHR,UK,270,5297,0.804,2182
2024-04-05,HKG-LHR,UK,268,5598,0.83,2144
2024-04-06,HKG-LHR,UK,280,5451,0.864,2367
2024-04-07,HKG-LHR,UK,283,5405,0.82,1829
2024-04-08,HKG-LHR,UK,300,5336,0.829,2223
